Sample,Sample timing,Township,Field,Location ID,Area,Distance,Category,Crop,Year,Date collected,%L-Tox,%AF36,%L-atox,%S,%tamarii,cfu/g,CFU L-tox,CFU AF36,CFU S,CFU tamarii,Lat,Long,Geometry,Polygon Points
AZT22S03,Pre-treatment,31302,1202,AZT03,Willcox,< 2 miles,CorGT2,Corn,2022,,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.499722, -109.956944), (32.498889, -109.96), (32.496389, -109.961389), (32.493611, -109.96), (32.4925, -109.957222), (32.493611, -109.953889), (32.496111, -109.952778), (32.498611, -109.953889), (32.499722, -109.956944)"
AZT22S32,Fall,31302,1202,AZT03,Willcox,< 2 miles,CorGT2,Corn,2022,8/10/2022,50,33,0,0,17,8,4,3,0,1,,,nan,"(32.499722, -109.956944), (32.498889, -109.96), (32.496389, -109.961389), (32.493611, -109.96), (32.4925, -109.957222), (32.493611, -109.953889), (32.496111, -109.952778), (32.498611, -109.953889), (32.499722, -109.956944)"
AZT21S04,Pre-treatment,31302,1202W,AZT04,Willcox,< 2 miles,FLT2,Fallow,2021,6/30/2021,100,0,0,0,0,133,133,0,0,0,32.4966362,-109.9594708,"(32°2939""N, 109°5741""W), (32°2939""N, 109°5738""W), (32°2936""N, 109°5738""W), (32, 2936""N, 109°5741""W)","(32.494167, -109.961389), (32.494167, -109.960556), (32.493333, -109.960556), (32.493333, -109.961389), (32.494167, -109.961389)"
AZT21S32,Fall,31302,1202W,AZT04,Willcox,< 2 miles,FLT2,Fallow,2021,10/9/2021,100,0,0,0,0,7,7,0,0,0,,,nan,"(32.494167, -109.961389), (32.494167, -109.960556), (32.493333, -109.960556), (32.493333, -109.961389), (32.494167, -109.961389)"
AZT22S04,Pre-treatment,31302,1202W,AZT04,Willcox,< 2 miles,FLT2,Fallow,2022,,80,7,13,0,0,233,187,16,0,0,,,nan,"(32.494167, -109.961389), (32.494167, -109.960556), (32.493333, -109.960556), (32.493333, -109.961389), (32.494167, -109.961389)"
AZT22S33,Fall,31302,1202W,AZT04,Willcox,< 2 miles,FLT2,Fallow,2022,8/10/2022,92,8,0,0,0,16,14,1,0,0,,,nan,"(32.494167, -109.961389), (32.494167, -109.960556), (32.493333, -109.960556), (32.493333, -109.961389), (32.494167, -109.961389)"
AZT21S05,Pre-treatment,31316,2701,AZT05,Bowie(North),Adjacent,PA,Pecan,2021,7/9/2021,5,90,5,0,0,50,3,45,0,0,32.3488326,-109.4836541,"(32°2127""N, 109°2826""W), (32°2127""N, 109°2820""W), (32°2116""N, 109°2820""W)(32°2116""N, 109°2826""W)","(32.3575, -109.473889), (32.3575, -109.472222), (32.354444, -109.472222), (32.354444, -109.473889), (32.3575, -109.473889)"
AZT21S33,Fall,31316,2701,AZT05,Bowie(North),Adjacent,PA,Pecan,2021,,67,0,0,0,33,2,1,0,0,1,,,nan,"(32.3575, -109.473889), (32.3575, -109.472222), (32.354444, -109.472222), (32.354444, -109.473889), (32.3575, -109.473889)"
AZT22S05,Pre-treatment,31316,2701,AZT05,Bowie(North),Adjacent,PA,Pecan,2022,,40,0,47,0,13,20,8,0,0,3,,,nan,"(32.3575, -109.473889), (32.3575, -109.472222), (32.354444, -109.472222), (32.354444, -109.473889), (32.3575, -109.473889)"
AZT22S34,Fall,31316,2701,AZT05,Bowie(North),Adjacent,PA,Pecan,2022,8/8/2022,79,7,14,0,0,6,4,0,0,0,,,nan,"(32.3575, -109.473889), (32.3575, -109.472222), (32.354444, -109.472222), (32.354444, -109.473889), (32.3575, -109.473889)"
